"Feature Name","Feature Description",Industry,Usecase
"usage of inb services","purpose of using Internet banking services","banking financial service and insurance","customer churn prediction"
retired_flag," is the client retired (1, 0)",telecommunication,"customer churn prediction"
marital_status," is the client married (Yes, No)",telecommunication,"customer churn prediction"
tenure,"Tenure of credit card service for user",telecommunication,"customer churn prediction"
internetservice," client's Internet service provider (DSL, Fiber optic, No)",telecommunication,"customer churn prediction"
contract," type of customer contract (Month to month, one year, two year",telecommunication,"customer churn prediction"
paperlessbilling," whether the client uses paperless billing (Yes, No)",telecommunication,"customer churn prediction"
onlinesecurity,"Is online security service connected (Yes, No, No internet service)",telecommunication,"customer churn prediction"
totalcharges,"total amount that the client paid for the services for the entire time",telecommunication,"customer churn prediction"
techsupport,"Is the technical support service connected (Yes, No, No internet service)",telecommunication,"customer churn prediction"
paymentmethod,"payment method (Electronic check, Mailed check, Bank transfer (automatic), Credit card (automatic))",telecommunication,"customer churn prediction"
monthlycharges,"current monthly payment",telecommunication,"customer churn prediction"
gender,"Gender of the client",telecommunication,"customer churn prediction"
"international plan","International call usage",telecommunication,"customer churn prediction"
"total day minutes","Daily total talk time",telecommunication,"customer churn prediction"
"number customer service calls","Number of call to customer service",telecommunication,"customer churn prediction"
"voice mail plan","Voice mail usage",telecommunication,"customer churn prediction"
"total eve minutes","Total talk time in evening",telecommunication,"customer churn prediction"
state,"Living place",telecommunication,"customer churn prediction"
"total day charge","Daily Total spent credits",telecommunication,"customer churn prediction"
"number vmail messages","Number of voice messages",telecommunication,"customer churn prediction"
"total intl calls","Total number of international call",telecommunication,"customer churn prediction"
"total intl charge","Total spent credits of international calls ",telecommunication,"customer churn prediction"
"mobile imei information","Contains the brand, model, type of the mobile phone and if it's dual or mono SIM device",telecommunication,"customer churn prediction"
"towers and complaints database","Information of action location is represented as digits. Mapping these digits with towers' database provides the location of this transaction, giving the longitude and latitude, sub-area, area, city, and state. All complaints submitted and statistics inquiries
related to coverage, problems in offers and packages, and any problem related to the
telecom business",telecommunication,"customer churn prediction"
"network logs data","Contains the internal sessions related to internet, calls, and SMS for each transaction in Telecom operator, like the time needed to open a session for the internet and call ending status. It could indicate if the session dropped due to an error in the internal network",telecommunication,"customer churn prediction"
"customer data","Contains all data related to customer's services and contract information as well as date of birth, gender, location",telecommunication,"customer churn prediction"
"call details records(cdr)","Contain all charging information about calls, SMS, MMS, and internet transaction made by customers.",telecommunication,"customer churn prediction"
location,"Customer location including city and region",telecommunication,"customer churn prediction"
"sms events","the number of SMS per day with corresponding charging units",telecommunication,"customer churn prediction"
inb_transactions,"Number and amount of transactions made by customer through internet bank",telecommunication,"customer churn prediction"
device_brand,"brand of device",telecommunication,"customer churn prediction"
dob,"date of birth",telecommunication,"customer churn prediction"
dual_or_mono,"dual or mono sim device",telecommunication,"customer churn prediction"
mobile_phone_type,"type of mobile phone",telecommunication,"customer churn prediction"
mobile_phone_model,"model of mobile phone",telecommunication,"customer churn prediction"
call_charging_info,"charging info about calls",telecommunication,"customer churn prediction"
mms_charging_info,"charging info about mms",telecommunication,"customer churn prediction"
"loan status","Flag indicating whether the user paid back the credit amount within 5 days of issuing the loan{1:success, 0:failure}",telecommunication,"customer churn prediction"
msisdn,"mobile number of user",telecommunication,"customer churn prediction"
aon,"age on cellular network in days",telecommunication,"customer churn prediction"
daily_decr30,"Daily amount spent from main account, averaged over last 30 days (in Indonesian Rupiah)",telecommunication,"customer churn prediction"
daily_decr90,"Daily amount spent from main account, averaged over last 90 days (in Indonesian Rupiah)",telecommunication,"customer churn prediction"
rental30,"Average main account balance over last 30 days",telecommunication,"customer churn prediction"
rental90,"Average main account balance over last 90 days",telecommunication,"customer churn prediction"
last_rech_date_ma,"Number of days till last recharge of main account",telecommunication,"customer churn prediction"
last_rech_date_da,"Number of days till last recharge of data account",telecommunication,"customer churn prediction"
last_rech_amt_ma,"Amount of last recharge of main account (in Indonesian Rupiah)",telecommunication,"customer churn prediction"
cnt_ma_rech30,"Number of times main account got recharged in last 30 days",telecommunication,"delinquency prediction"
fr_ma_rech30,"Frequency of main account recharged in last 30 days",telecommunication,"delinquency prediction"
sumamnt_ma_rech30,"Total amount of recharge in main account over last 30 days (in Indonesian Rupiah)",telecommunication,"delinquency prediction"
medianamnt_ma_rech30,"Median of amount of recharges done in main account over last 30 days at user level (in Indonesian Rupiah)",telecommunication,"delinquency prediction"
medianmarechprebal30,"Median of main account balance just before recharge in last 30 days at user level (in Indonesian Rupiah)",telecommunication,"delinquency prediction"
cnt_ma_rech90,"Number of times main account got recharged in last 90 days",telecommunication,"delinquency prediction"
fr_ma_rech90,"Frequency of main account recharged in last 90 days",telecommunication,"delinquency prediction"
sumamnt_ma_rech90,"Total amount of recharge in main account over last 90 days (in Indonesian Rupiah)",telecommunication,"delinquency prediction"
medianamnt_ma_rech90,"Median of amount of recharges done in main account over last 90 days at user level (in Indonesian Rupiah)",telecommunication,"delinquency prediction"
medianmarechprebal90,"Median of main account balance just before recharge in last 90 days at user level (in Indonesian Rupiah)",telecommunication,"delinquency prediction"
cnt_da_rech30,"Number of times data account got recharged in last 30 days",telecommunication,"delinquency prediction"
fr_da_rech30,"Frequency of data account recharged in last 30 days",telecommunication,"delinquency prediction"
cnt_da_rech90,"Number of times data account got recharged in last 90 days",telecommunication,"delinquency prediction"
fr_da_rech90,"Frequency of data account recharged in last 90 days",telecommunication,"delinquency prediction"
cnt_loans30,"Number of loans taken by user in last 30 days",telecommunication,"delinquency prediction"
amnt_loans30,"Total amount of loans taken by user in last 30 days",telecommunication,"delinquency prediction"
maxamnt_loans30,"maximum amount of loan taken by the user in last 30 days",telecommunication,"delinquency prediction"
medianamnt_loans30,"Median of amounts of loan taken by the user in last 30 days",telecommunication,"delinquency prediction"
cnt_loans90,"Number of loans taken by user in last 90 days",telecommunication,"delinquency prediction"
amnt_loans90,"Total amount of loans taken by user in last 90 days",telecommunication,"delinquency prediction"
maxamnt_loans90,"maximum amount of loan taken by the user in last 90 days",telecommunication,"delinquency prediction"
medianamnt_loans90,"Median of amounts of loan taken by the user in last 90 days",telecommunication,"delinquency prediction"
payback30,"Average payback time in days over last 30 days",telecommunication,"delinquency prediction"
payback90,"Average payback time in days over last 90 days",telecommunication,"delinquency prediction"
pcircle,"telecom circle",telecommunication,"delinquency prediction"
pdate,date,telecommunication,"delinquency prediction"
gender,"Gender of the client",telecommunication,"gender prediction using voice"
"descriptive statistics value of frequency","meanfreq,sd,median,Q25,Q75,IQR,skew,kurt of frequency",telecommunication,"gender prediction using voice"
sp.ent," spectral entropy",telecommunication,"gender prediction using voice"
sfm," spectral flatness",telecommunication,"gender prediction using voice"
mode," mode frequency of acoustic signal",telecommunication,"gender prediction using voice"
centroid," acoustic signal frequency centroid (see specprop)",telecommunication,"gender prediction using voice"
peakf," peak frequency (frequency with highest energy)",telecommunication,"gender prediction using voice"
meanfun,"average of fundamental frequency measured across acoustic signal",telecommunication,"gender prediction using voice"
minfun," minimum fundamental frequency measured across acoustic signal",telecommunication,"gender prediction using voice"
maxfun," maximum fundamental frequency measured across acoustic signal",telecommunication,"gender prediction using voice"
meandom," average of dominant frequency measured across acoustic signal",telecommunication,"gender prediction using voice"
mindom," minimum of dominant frequency measured across acoustic signal",telecommunication,"gender prediction using voice"
maxdom," maximum of dominant frequency measured across acoustic signal",telecommunication,"gender prediction using voice"
dfrange," range of dominant frequency measured across acoustic signal",telecommunication,"gender prediction using voice"
modindx," modulation index. Calculated as the accumulated absolute difference between adjacent measurements of fundamental frequencies divided by the frequency range",telecommunication,"gender prediction using voice"
label," male or female",telecommunication,"gender prediction using voice"
telecomservice,"Telecom Service Provider which provide service to users in a specific LSA",telecommunication,"mobile data speed prediction"
technology,"Network generation technology of wireless technology (4G, 3G)",telecommunication,"mobile data speed prediction"
test_type,"Upload/Download represent whether speed is for Download test or Upload Test (Upload, Download)",telecommunication,"mobile data speed prediction"
signal_strength,"Signal strength refers to the Transmitter power output as received by a reference antenna",telecommunication,"mobile data speed prediction"
lsa,"Licensed_Service_Area, contains name of states in which service is provided",telecommunication,"mobile data speed prediction"
"data speed(mbps)","Data Speeds in Mbps",telecommunication,"mobile data speed prediction"
"recency value","The last time the customer has made a transaction",retail,"customer segmentation"
buyer,"Corresponding to each distinct postcode",retail,"customer segmentation"
first_purchase,"Time in month since the first purchase in 2011",retail,"customer segmentation"
frequency_per_postcode,"Frequency of purchase per postcode",retail,"customer segmentation"
monetary_per_postcode,"Total amount spent per postcode",retail,"customer segmentation"
postcode_minimum_spend,"Minimum spending per postcode",retail,"customer segmentation"
postcode_maximum_spend,"Maximum spending per postcode",retail,"customer segmentation"
postcode_median_spend,"Median spending per postcode",retail,"customer segmentation"
tenure,"Tenure of credit card service for user","banking financial service and insurance","customer segmentation"
gender,"Gender of the client","banking financial service and insurance","customer segmentation"
income,"annual income of customer","banking financial service and insurance","customer segmentation"
"debit account activity","timing and amount of payments","banking financial service and insurance","customer segmentation"
"installment rate","Installment rate","banking financial service and insurance","customer segmentation"
balance,"Balance amount left in their account to make purchases","banking financial service and insurance","customer segmentation"
balance_frequency,"How frequently the Balance is updated, score between 0 and 1 (1 = frequently updated, 0 = not frequently updated)","banking financial service and insurance","customer segmentation"
purchases,"Amount of purchases made from account","banking financial service and insurance","customer segmentation"
oneoff_purchases,"Maximum purchase amount done in one-go","banking financial service and insurance","customer segmentation"
installments_purchases,"Amount of purchase done in installment","banking financial service and insurance","customer segmentation"
cash_advance,"Cash in advance given by the user","banking financial service and insurance","customer segmentation"
purchases_frequency,"How frequently the Purchases are being made, score between 0 and 1 (1 = frequently purchased, 0 = not frequently purchased)","banking financial service and insurance","customer segmentation"
oneoff_purchases_frequency,"How frequently Purchases are happening in one-go (1 = frequently purchased, 0 = not frequently purchased)","banking financial service and insurance","customer segmentation"
cash_advance_frequency,"How frequently the cash in advance being paid","banking financial service and insurance","customer segmentation"
cash_advance_trx,"Number of Transactions made with Cash in Advanced","banking financial service and insurance","customer segmentation"
purchases_trx,"Number of purchase transactions made","banking financial service and insurance","customer segmentation"
credit_limit,"Limit of Credit Card for user","banking financial service and insurance","customer segmentation"
minimum_payments,"Minimum amount of payments made by user","banking financial service and insurance","customer segmentation"
prc_full_payment,"Percent of full payment paid by user","banking financial service and insurance","customer segmentation"
marital_status," is the client married (Yes, No)","banking financial service and insurance","customer segmentation"
age,"age of customer","banking financial service and insurance","customer segmentation"
education,"Users' education level","banking financial service and insurance","customer segmentation"
assets,"total assets","banking financial service and insurance","customer segmentation"
"no. of dependents","Demographic Variables","banking financial service and insurance","customer segmentation"
occupation,"Demographic Variables","banking financial service and insurance","customer segmentation"
lifestyle,"Demographic Variables","banking financial service and insurance","customer segmentation"
"social class","Demographic Variables","banking financial service and insurance","customer segmentation"
"credit score","A value between 0 and 800 indicating the riskiness of the borrower’s credit history.","banking financial service and insurance","customer segmentation"
"relationship time with bank","Financial Variables","banking financial service and insurance","customer segmentation"
liabilities,"Financial Variables","banking financial service and insurance","customer segmentation"
"contingent liabilities","Financial Variables","banking financial service and insurance","customer segmentation"
"deposits with bank","Money placed into the bank","banking financial service and insurance","customer segmentation"
"risk level","Financial Variables","banking financial service and insurance","customer segmentation"
"threshold level","Financial Variables","banking financial service and insurance","customer segmentation"
"relationship with bank","Behavior Data","banking financial service and insurance","customer segmentation"
"customer behavior","Behavior Data","banking financial service and insurance","customer segmentation"
"buying preferences","Behavior Data","banking financial service and insurance","customer segmentation"
"repayment pattern","Behavior Data","banking financial service and insurance","customer segmentation"
"transaction history","Behavior Data","banking financial service and insurance","customer segmentation"
paymentmethod,"payment method (Electronic check, Mailed check, Bank transfer (automatic), Credit card (automatic))","banking financial service and insurance","customer segmentation"
"the importance of selecting a bank providing services for clients (likert 1-5)","Decision maker preferences","banking financial service and insurance","customer segmentation"
"client rating of the best bank in croatia (likert 1-5)","Business client characteristics","banking financial service and insurance","customer segmentation"
"total number of employees","the number of employees engaged at the place of business each regular working day during the preceding calendar year","banking financial service and insurance","customer segmentation"
"increase / decrease in revenues compared to the previous year (numeric)","Business client characteristics","banking financial service and insurance","customer segmentation"
"total income in the previous year (numeric)","Business client characteristics","banking financial service and insurance","customer segmentation"
"plans related to the number of employees (nominal)","Business client characteristics","banking financial service and insurance","customer segmentation"
"main business activity (nominal)","Business client characteristics","banking financial service and insurance","customer segmentation"
"legal form of the company (nominal)","Business client characteristics","banking financial service and insurance","customer segmentation"
"percentage of import and export in annual sales (numeric)","Business client characteristics","banking financial service and insurance","customer segmentation"
"ownership form of the company and the capital origin (nominal)","Business client characteristics","banking financial service and insurance","customer segmentation"
"the financial position of the company (nominal)","Business client characteristics","banking financial service and insurance","customer segmentation"
"headquarters of the company and the year of establishment (nominal)","Business client characteristics","banking financial service and insurance","customer segmentation"
"the most important reasons which affect the selection of a bank for a loan request (likert 1-5)","Operating criterion","banking financial service and insurance","customer segmentation"
"credit cards used by a client (binomial 0-1)","Operating criterion","banking financial service and insurance","customer segmentation"
"credit cards which a company is planning to use (binomial 0-1)","Operating criterion","banking financial service and insurance","customer segmentation"
"the three most important characteristics of a bank (e.g. security and stability, commissions and fees, keeping up with promises) (likert 1-5)","Supply management approach criterion","banking financial service and insurance","customer segmentation"
"the three most important characteristics of bank services (e.g. a wide spectrum of services, quality and price ratio and promptness in solving requests) (likert 1-5)","Supply management approach criterion","banking financial service and insurance","customer segmentation"
"the major bank where most of the services are used (binomial 0-1)","Situational criterion","banking financial service and insurance","customer segmentation"
"level of satisfaction with the current major bank (likert 1-5)","Situational criterion","banking financial service and insurance","customer segmentation"
location,"Customer location including city and region","banking financial service and insurance","customer segmentation"
"customer value","How many products & services customers purchase and what kind of revenue that generates for the bank - past, current, and predicted for the future","banking financial service and insurance","customer segmentation"
"life stage","Slightly different from age, focused instead on customers' journeys through various milestones and markers; for example, graduating college or starting a family","banking financial service and insurance","customer segmentation"
attitude,"Customers' subjective stances on things like the financial industry as a whole, online and mobile banking, the economy, and their satisfaction with their bank","banking financial service and insurance","customer segmentation"
behavior,"Interactions and transactions between customers and their bank, which channels they use and how often, and which products they adopt","banking financial service and insurance","customer segmentation"
generation,"generation eg baby boomers","banking financial service and insurance","customer segmentation"
contract," type of customer contract (Month to month, one year, two year",telecommunication,"customer segmentation"
gender,"Gender of the client",telecommunication,"customer segmentation"
aon,"age on cellular network in days",telecommunication,"customer segmentation"
"total outgoing minutes","Total minutes of outgoing call",telecommunication,"customer segmentation"
"total outgoing revenue","Total revenue generating by outgoing calls",telecommunication,"customer segmentation"
"total vas revenue","Internet (GPRS), interactive voice response (IVR), ringback tones, Multimedia Message Service (MMS) etc. related usage",telecommunication,"customer segmentation"
"total incoming minutes","Total minutes of incoming call",telecommunication,"customer segmentation"
"total incoming revenue","Total revenue generating by incoming calls",telecommunication,"customer segmentation"
"active days","Total revenue generating days",telecommunication,"customer segmentation"
"average call distance","Time between two consecutive call",telecommunication,"customer segmentation"
"total inactive days","Total number of inactive days",telecommunication,"customer segmentation"
"maximum inactive days","Consecutive number of inactivity days",telecommunication,"customer segmentation"
"network age days","Scoring date - activation date",telecommunication,"customer segmentation"
"revenue line-rent average","Average Revenue generating through rent amounts for the entire lease term, and then divides the sum by the number of months in the lease term",telecommunication,"customer segmentation"
"payment amount average","Average payment amount",telecommunication,"customer segmentation"
arpu,"Average revenue per user",telecommunication,"customer segmentation"
location,"Customer location including city and region",telecommunication,"customer segmentation"
"customer data","Contains all data related to customer's services and contract information",telecommunication,"customer segmentation"
"Policy Number","Unique policy identification number",healthcare,"fraud detection"
"Insured Id","Unique ID given to insured",healthcare,"fraud detection"
"Claim Identification Number","Unique claim identification number",healthcare,"fraud detection"
"Benefit Type","Type of benefit (medical / surgical)",healthcare,"fraud detection"
"Claim Status","Current status of the claim",healthcare,"fraud detection"
"Treatment Start Date","Treatment Start Date",healthcare,"fraud detection"
"Treatment End Date","Treatment End Date",healthcare,"fraud detection"
"Claim Settlement Date","Date at which the claims were settled",healthcare,"fraud detection"
"Claim Reported Date","Date at which the claims were reported",healthcare,"fraud detection"
"Claim Billed Amount","Claims amount billed",healthcare,"fraud detection"
"Approved / Allowed Amount","Approved / Allowed Amount",healthcare,"fraud detection"
"Claim Paid Amount","Claims amount paid",healthcare,"fraud detection"
"Medical Service Provider ID","Unique ID given to hospitals",healthcare,"fraud detection"
payment_type,"CASH-IN, CASH-OUT, DEBIT, PAYMENT and TRANSFER","banking financial service and insurance","fraud detection"
transaction_amount,"amount of the transaction in local currency","banking financial service and insurance","fraud detection"
nameorig,"customer who started the transaction","banking financial service and insurance","fraud detection"
oldbalanceorig,"initial balance before the transaction","banking financial service and insurance","fraud detection"
newbalanceorig,"customer's balance after the transaction","banking financial service and insurance","fraud detection"
namedest,"recipient ID of the transaction","banking financial service and insurance","fraud detection"
oldbalancedest,"initial recipient balance before the transaction","banking financial service and insurance","fraud detection"
newbalancedest,"recipient's balance after the transaction","banking financial service and insurance","fraud detection"
isfraud,"identifies a fraudulent transaction (1) and non fraudulent (0)","banking financial service and insurance","fraud detection"
gender,"Gender of the client","banking financial service and insurance","fraud detection"
income,"annual income of customer","banking financial service and insurance","fraud detection"
"credit history","no credits taken/all credits paid back duly/existing credits paid back duly till now/delay in paying off in the past/critical account/ other credits existing (not at this bank)","banking financial service and insurance","fraud detection"
credit_card_purpose,"purpose to use credit card","banking financial service and insurance","fraud detection"
"credit amount","amount of money credited","banking financial service and insurance","fraud detection"
employment_status,"present employment status of customer","banking financial service and insurance","fraud detection"
"installment rate","Installment rate","banking financial service and insurance","fraud detection"
"other debtors / guarantors",none/co-applicant/guarantors,"banking financial service and insurance","fraud detection"
"present residence since","period of living at a residence","banking financial service and insurance","fraud detection"
property_saving_insurance,"real estate/ building society savings agreement/life insurance/no property","banking financial service and insurance","fraud detection"
"other installment plans",bank/store/none,"banking financial service and insurance","fraud detection"
housing,"Categorical variable indicating home ownership. Values are Rent, Home Mortgage, and Own. If the value is OWN, then the customer is a home owner with no mortgage.","banking financial service and insurance","fraud detection"
"existing credits","Number of existing credits at this bank","banking financial service and insurance","fraud detection"
job,"unemployed/unskilled - resident/skilled employee/management/highly qualified employee","banking financial service and insurance","fraud detection"
foreign_worker_flag,yes/no,"banking financial service and insurance","fraud detection"
telephone,"none/registered under customer name","banking financial service and insurance","fraud detection"
location,"Customer location including city and region","banking financial service and insurance","fraud detection"
first_present_transaction_time,"Time shows the time gap between the first transaction and the following one.","banking financial service and insurance","fraud detection"
dob,"date of birth","banking financial service and insurance","fraud detection"
"email address","email address","banking financial service and insurance","fraud detection"
pos_no,"POS terminal number","banking financial service and insurance","fraud detection"
account_no,"Account number","banking financial service and insurance","fraud detection"
trans_date/time,"Transaction date/time","banking financial service and insurance","fraud detection"
mcc,"Merchant Category Code","banking financial service and insurance","fraud detection"
card_type,"Card type","banking financial service and insurance","fraud detection"
exp_date,"Expiration Date","banking financial service and insurance","fraud detection"
number_trans,"The number of transactions of this card in the same day/5 days","banking financial service and insurance","fraud detection"
number_failed_trans,"The failure number of transactions of this card in the same day/5days","banking financial service and insurance","fraud detection"
retired_flag," is the client retired (1, 0)",telecommunication,"fraud detection"
marital_status," is the client married (Yes, No)",telecommunication,"fraud detection"
gender,"Gender of the client",telecommunication,"fraud detection"
"total intl calls","Total number of international call",telecommunication,"fraud detection"
"total intl charge","Total spent credits of international calls ",telecommunication,"fraud detection"
msisdn,"mobile number of user",telecommunication,"fraud detection"
"total outgoing revenue","Total revenue generating by outgoing calls",telecommunication,"fraud detection"
"total incoming revenue","Total revenue generating by incoming calls",telecommunication,"fraud detection"
location,"Customer location including city and region",telecommunication,"fraud detection"
"call events","number of outgoing/incoming calls, number of international calls, with corresponding charging units, max calls duration, and number of calls per day",telecommunication,"fraud detection"
"recharge events","the number of recharges per day with corresponding amount units.",telecommunication,"fraud detection"
"subsciber activity","number of subscriber offers per day with their charging units",telecommunication,"fraud detection"
"data events","the downloading volume with corresponding charging units ",telecommunication,"fraud detection"
"sms events","the number of SMS per day with corresponding charging units",telecommunication,"fraud detection"
call_date_time,"Date and time of the call",telecommunication,"fraud detection"
"call recordings","call recordings of the conversation",telecommunication,"fraud detection"
customer_country,"country of the customer",telecommunication,"fraud detection"
address,"current address of customer",telecommunication,"fraud detection"
age,"age of customer",telecommunication,"fraud detection"
income,"annual income of customer",telecommunication,"fraud detection"
"phone number","phone number of customer",telecommunication,"fraud detection"
num_outgoing_calls,"number of outgoing calls",telecommunication,"fraud detection"
num_incoming_calls,"number of incoming calls",telecommunication,"fraud detection"
num_calls,"total number of calls",telecommunication,"fraud detection"
max_call_duration,"max calls duration",telecommunication,"fraud detection"
"fraud-related textual data","Textual description of Fraud call",telecommunication,"fraud detection"
connection_duration,"length (number of seconds) of the connection",telecommunication,"network traffic analysis and prediction"
